2025-12-05 20:26:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:26:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:26:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:31:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 20:31:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:31:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:31:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 20:31:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:31:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:31:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:31:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:36:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 20:36:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:36:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 20:36:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:36:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:36:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:36:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:36:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:41:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:41:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:41:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
